Data,Petrobras,Vale ,Embraer,Itau Unibanco,JBS,RaiaDrogasil,Engie Brasil,Natura,Amazon (NASDAQ),Lojas Renner
Jul-19,25.35688465,48.52419074,19.31,32.70653759,24.33725673,82.48417817,45.85610687,30.45892589,1866.78,47.12204679
Ago-19,24.98780287,44.39364329,17.95,32.62724381,28.97013211,91.45697818,42.73063366,32.85401226,1776.29,50.19004351
Set-19,26.99662624,46.51736816,17.91,33.68997349,32.0489417,95.35965463,42.17013847,33.72042605,1735.91,50.19029712
Out-19,29.77958154,45.98156601,17.53,34.85899585,27.65064229,109.482956,42.99663138,31.03155569,1776.66,50.46874537
Nov-19,28.7533445,48.68980232,18,33.49697793,27.83634826,112.4589018,44.43111908,33.11741835,1800.8,51.51292631
Dez-19,30.17940164,53.3,19.73,35.76400153,25.21691661,111.2782063,49.88751847,38.66698574,1847.84,55.95567628
Jan-20,28.44943594,50.27,18.14,31.65092437,26.95668838,123.8174381,51.11506568,47.57629122,2008.72,57.21042183
Fev-20,25.3394976,44.31,16.96,31.81628699,22.18697702,119.511438,46.67625498,45.50645257,1883.75,53.07772817
Mar-20,13.98972263,43.22,9.54,22.96820593,19.88031333,101.6510479,38.22090982,25.73799361,1949.72,33.48705667
Abr-20,18.04964213,44.86,8.65,22.64989385,23.84,104.6386245,38.41731737,35.51723128,2474,38.32527154
Mai-20,20.33959673,53,7.15,22.93357743,21.97,109.292337,41.64822162,37.18,2442.37,38.48500177
Jun-20,21.54957274,55.92,8.09,25.34894877,21.15,110.62,41.33396954,39.9,2758.82,41.8
Jul-20,22.2,60.71,7.61,26.79902624,21.54,124.1,45.34068362,47.04,3164.68,41.13
